,原文,type,英文,中文,原因,,,
0,"DONT BUT THIS OR YOUR RISKING IN BURNING YOUR HARDWARE. low quality, melted in my unit die to shitty adapters ALIEXPRESS AND SELLER DONT GIVE A F**K ABOUT YOU dont ruin you stuff for free!",中评,"DONT BUT THIS OR YOUR RISKING IN BURNING YOUR HARDWARE. low quality, melted in my unit die to shitty adapters ALIEXPRESS AND SELLER DONT GIVE A F**K ABOUT YOU dont ruin you stuff for free! ",但不要担心，否则您会冒着烧毁硬件的风险。低质量，在我的设备中融化成糟糕的适配器,质量差,,,质量差
1,Durou nem 2 horas ligado e já queimou.porcaria,中评,It lasted neither 2 hours connected and already burned.Porria ,它持续了 2 小时连接和已经燃烧。 Porria,质量差,,,物流
2,I didn't receive the product at all.,中评,I didn't receive the product at all. ,我根本没有收到产品。,物流,,,不合适
3,jamais re?u,中评,never received ,从未收到,物流,,,不喜欢
4,no corresponde,中评,Does not appropriate ,不合适,不合适,,,描述不符
5,no me gusto,中评,I did not like ,我以前不喜欢,不喜欢,,,少电源线
6,"Замовлення не отримав, грош? повернули.",中评,"The order has not received, the money turned. ",订单还没收到，钱就转了。,物流,,,不明确
7,Не получил((,中评,Not received(( ,没收到（（,物流,,,卖家不回复
8,"товар не соответствует описанию, переходники плохо держатся, не советую",中评,"The goods do not correspond to the description, adapters are bad, I do not advise ",商品与描述不符，适配器坏了，不建议,描述不符,,,
9,"ATTENTION! Fake product. It doesn't work. And you must proof that with the video... If the seller will be satisfied, you can return your money. Don't. buy from this seller!",中评,"ATTENTION! Fake product. It doesn't work. And you must proof that with the video... If the seller will be satisfied, you can return your money. Don't. buy from this seller! ",注意力！假冒产品。它不起作用。你必须用视频证明......如果卖家满意，你可以退还你的钱。别。从这个卖家买！,描述不符,,,
10,Charger is not working at all. not able to charge my Dell laptop.,中评,Charger is not working at all. not able to charge my Dell laptop. ,充电器根本不工作。无法为我的戴尔笔记本电脑充电。,质量差,,,
11,el envio bien aunque no puedes confiar en que sea universal pues a mi no me valio ninguna clavija,中评,the shipping well although you can not trust that it is universal because it was not worth any plug ,运输很好，虽然你不能相信它是通用的，因为它不值得任何插头,描述不符,,,
12,Le produit n'est pas compatible avec pc lenovo. Tres dessus.....,中评,The product is not compatible with PC Lenovo. Very on ..... ,该产品与 PC Lenovo 不兼容。很上.....,描述不符,,,
13,manque le c?ble secteur EU,中评,Lacks the EU mains cable ,缺少欧盟电源线,少电源线,,,
14,nul,中评,no ,不,不明确,,,
15,ok,中评,ok ,行,不明确,,,
16,"The Charger-Adapter works, but it gets very hot. I am worried about the long life of the adapter. The included adapter does not work with Dell (does not charge). With another adapter, the charger itself works.",中评,"The Charger-Adapter works, but it gets very hot. I am worried about the long life of the adapter. The included adapter does not work with Dell (does not charge). With another adapter, the charger itself works. ",充电器适配器可以工作，但会变得很热。我担心适配器的使用寿命。随附的适配器不适用于戴尔（不收费）。使用另一个适配器，充电器本身可以工作。,质量差,,,
17,"This adapter is NOT 90W. It may say that on the label, but it will overheat and break in a few minutes if you actually charge at 90W. This adapter made an explosion sound, and blew out my fuse! It was VERY HOT, which I guess caused a component to break and cause a short circuit. DO NOT BUY. This thing is a fire hazard. Seller also stated he would issue a refund, but then in the dispute said he needed evidence. What evidence can I give? It still looks the same, but it is broken, and I don't want to plug it in again and risk damaging my device!",中评,"This adapter is NOT 90W. It may say that on the label, but it will overheat and break in a few minutes if you actually charge at 90W. This adapter made an explosion sound, and blew out my fuse! It was VERY HOT, which I guess caused a component to break and cause a short circuit. DO NOT BUY. This thing is a fire hazard. Seller also stated he would issue a refund, but then in the dispute said he needed evidence. What evidence can I give? It still looks the same, but it is broken, and I don't want to plug it in again and risk damaging my device! ",这个适配器不是 90W。标签上可能会说，但如果您实际以 90W 充电，它会在几分钟内过热并损坏。这个适配器发出爆炸声，把我的保险丝烧断了！天气非常热，我猜这会导致组件损坏并导致短路。不要买。这东西有火灾隐患。卖家还表示他会退款，但随后在争议中表示他需要证据。我可以提供什么证据？它看起来仍然一样，但它坏了，我不想再次插入它并冒着损坏我的设备的风险！,质量差,,,
18,"Aucun embout ne fonctionne pour mon HP portable. Après un essai sur un autre PC portable, le bo?tier fait un claquement en continu. Cette avis ne tient cas mon cas, pas du tout satisfait de cette achat.",中评,"No tip works for my portable HP. After a test on another laptop, the housing makes a continuous snap. This notice does not have a case, not at all satisfied with this purchase. ",没有提示适用于我的便携式 HP。在另一台笔记本电脑上进行测试后，外壳持续发出咔嗒声。这个通知没有案例，对这次购买完全不满意。,描述不符,,,
